Household_ID;era;n_days;Weather_ID;hdd_raw_day;hdd_p6_day;hdd_normal_day;def_p6;def_normal;env_p6;env_normal;bin;raw_over_normal;p6_over_normal;def_ratio;rank_p6;rank_normal
861116;1976_1990;1365;ceOxS;3.6950818920210224;3.430902406704756;3.7265776660533123;1327.6201590785058;1442.0344991905374;1327.6201590785051;1442.0344991905374;1095+;0.9915483382194886;0.9206576956541214;1.0861800262143098;42.0;45.0
108511;2001_2010;804;Hg;3.8221840976278028;3.437215915132916;3.7172538605042673;467.5602493680317;505.65346632128774;467.5602493680323;505.65346632128774;730-1095;1.0282278910887461;0.924665369684124;1.0814723172141858;24.0;25.0
86109;1976_1990;1434;Hg;4.173408803791967;3.8750313869934705;3.7172538605042673;1425.2920445156228;1367.259210494401;1425.2920445156221;1367.259210494401;1095+;1.1227128844048924;1.042444646615499;0.9592835487684603;38.0;51.0
1037311;1976_1990;1163;Hg;4.0756992660161755;3.7843075821877212;3.7172538605042673;946.8188737652681;930.0422963155585;946.8188737652686;930.0422963155585;1095+;1.0964274754867787;1.0180385102012801;0.9822811121381714;58.0;59.0
116121;pre1975;1241;wDD;4.43484774433895;4.117778778401997;4.052917477628678;10241.849133099233;10095.667551971334;8367.477535950098;8235.676993380916;1095+;1.0942358853390066;1.0160036075571093;0.9857270323719693;1.0;1.0
120741;1976_1990;1208;Hg;4.159824017420098;3.8624178434727;3.7172538605042673;1634.1554926989866;1572.7378704417727;1634.1554926989859;1572.7378704417727;1095+;1.1190583623082964;1.0390514041859762;0.962416292371434;27.0;35.0
114721;1976_1990;1520;Hg;3.913876902173913;3.6340546909692786;3.7172538605042673;1565.2476906059537;1601.082954257486;1386.2058496005352;1417.9420740932235;1095+;1.0528947037378213;0.9776181093201683;1.0228943085919262;30.0;33.0
815461;1976_1990;1142;8jB;4.031672339399477;3.7434283559883723;3.723456018059466;1385.4730037833533;1378.0810805537626;1385.473003783353;1378.0810805537626;1095+;1.0827769469667705;1.0053639247602326;0.9946646934228199;39.0;49.0
1678757;1976_1990;1437;wDD;3.9172788770889433;3.6372134420510154;4.052917477628678;1436.0289815648198;1600.1554625519648;1436.0289815648193;1600.1554625519648;1095+;0.9665330959022893;0.8974309154153105;1.114291900159493;37.0;34.0
971071;1976_1990;1566;Hg;3.9749183001092048;3.6907319406770704;3.7172538605042673;1685.7205499675651;1697.8342840441446;1685.7205499675656;1697.8342840441446;1095+;1.0693158038902362;0.9928651846706;1.0071860867311682;24.0;26.0
121728;post2010;1561;Hg;4.040116629065352;3.751268922066251;3.7172538605042673;-136.11515619563306;-134.88091639206243;-136.11515619563355;-134.88091639206243;1095+;1.0868551841431908;1.009150588805191;0.9909323852092069;16.0;16.0
114798;pre1975;1075;8jB;3.842205251095382;3.4552205495462065;3.723456018059466;4199.355851562996;4525.359985928845;3698.4402552623988;3985.557340963021;730-1095;1.0318922077929644;0.9279606185188527;1.0776319382994206;11.0;11.0
1081057;post2010;1199;8jB;4.140636484510039;3.844602121179238;3.723456018059466;-94.17391060237105;-91.2064247805802;-94.17391060237122;-91.2064247805802;1095+;1.1120411962507866;1.0325359296664685;0.9684893002445187;12.0;9.0
9776611;post2010;1246;8jB;4.107521919417498;3.813855078382078;3.723456018059466;-94.09560366830874;-91.86527399471484;-94.0956036683092;-91.86527399471484;1095+;1.1031476938347706;1.0242782672560544;0.9762971957600068;11.0;10.0
7411010;post2010;1553;Hg;3.947331224278395;3.6651171998870895;3.7172538605042673;-131.31038943439034;-133.17829292453274;-131.3103894343903;-133.17829292453274;1095+;1.0618944447724419;0.985974414830494;1.014225100528513;15.0;14.0
