Household_ID;era;pv;area_m2;kwh_per_day;hdd_per_day;n_days;tier;deficiency;deficiency_lo;deficiency_hi;E_as_built;E_as_built_lo;E_as_built_hi;E_reference;E_reference_lo;E_reference_hi;band;decisive;window;pv_lvl;kwh_yr;implied_appliance;rank_in_era;n_decisive_in_era
461089;1976_1990;False;235.0;21.8788618513324;3.6829631075065556;1426;T1;1677.4217642313783;1356.8134984619462;2479.8860594881035;4074.8674334548377;3718.1391993278567;5218.919481169499;2397.4456692234594;2268.5775380758196;2820.485669660575;1123.0725610261572;True;post_visit;no PV;7985.784575736326;3910.917142281488;12.0;53
114109;1976_1990;False;200.0;36.17581607530775;3.6679856961454105;1381;T2;2049.37860290722;1538.925785534896;3150.336564854754;3795.266446903278;3353.4103716072154;5059.760371625806;1745.8878439960579;1624.416395125237;2048.51366133628;1611.4107793198582;True;post_visit;no PV;13204.172867487328;9408.906420584051;11.0;53
107114;1976_1990;False;185.0;31.388476777939044;3.7135215866304874;1378;T2;1153.0397257588656;652.7484318892133;2088.4777017332603;3253.695234836399;2800.764876594651;4467.011431944632;2100.655509077533;1954.3077598880518;2458.9353962956147;1435.729269844047;True;post_visit;no PV;11456.79402394775;8203.098789111351;42.0;53
671048;2001_2010;;240.0;21.365245786516855;3.208740891141508;712;T1;1412.3508481959852;1147.6392645422388;1698.0973302311304;4061.5978819647544;3548.2685232254967;4391.683139000237;2649.247033768769;2265.874387718554;2844.9326046239376;550.4580656888916;True;post_visit;Unknown;7798.3147120786525;3736.716830113898;11.0;29
109711;1991_2000;True;160.0;17.571543539325845;3.184779524914509;712;T2;1300.1446030743787;778.6611531613827;1893.640092049783;3271.329021414206;2628.369735110517;3905.9910642472064;1971.1844183398275;1712.4388486107457;2161.4058221357186;1114.9789388884005;True;post_visit;PV;6413.6133918539335;3142.2843704397274;9.0;17
7610179;1991_2000;;280.0;33.40373127753304;5.440884313349933;1135;T2;3220.6449187561648;1906.6205709568394;5140.697254299217;8010.580660384585;6629.551362379534;10338.463298464128;4789.93574162842;4514.716585806769;5550.183813333415;3234.0766833423777;True;post_visit;Unknown;12192.36191629956;4181.781255914975;5.0;17
6569121;2001_2010;;150.0;25.887867872044506;4.701064884803773;719;T1;1950.2334840847197;1637.6170581380668;2353.423149691686;5003.736058487972;4479.339942744501;5588.809143376806;3053.502574403252;2684.9449296638854;3390.397115753517;715.8060915536191;True;post_visit;Unknown;9449.071773296244;4445.335714808272;8.0;29
5011111;pre1975;;286.0;52.57780521739131;5.584448865784499;1150;T1;7849.879750036855;6702.9728315580205;11153.088276265848;13141.824378029385;11952.389539767019;17028.691792118643;5291.9446279925305;4989.153006353039;6207.184686001218;4450.115444707827;True;post_visit;Unknown;19190.89890434783;6049.0745263184435;2.0;29
5661171;2001_2010;;250.0;50.21064349376114;3.6620680849414864;561;T1;718.4654354646154;332.5772244858554;1134.7294123755614;4635.8936839629905;3979.9566415014165;5233.333610560609;3917.428248498375;3380.2019782971174;4313.628147634262;802.152187889706;True;post_visit;Unknown;18326.884875222815;13690.991191259825;16.0;29
110119;2001_2010;;130.0;19.404724617524337;3.147466741246901;719;T1;1254.6106633535705;1054.9403289359625;1447.5310388285363;3118.919165098824;2766.825468615569;3368.862103012809;1864.3085017452536;1608.263096238494;2012.0713165204536;392.59070989257384;True;post_visit;Unknown;7082.724485396383;3963.805320297559;12.0;29
