Household_ID;era;area;residents;hp_type;emitter;huellzahl;u_as_built;H_as_built;H_reference;T_bal_q_int_5.0;base_used;jaz_as_built;jaz_derived;E_as_built;E_reference;deficiency_kwh_yr;term_envelope;term_emitter;term_dhw;kwh_yr_actual
114721;1981 - 85;140.0;2;air-source;both;1.65;0.8;253.106;130.445;17.234360307539134;17;3.1;False;5928.207562442223;3108.0360926739077;2820.1714697683155;2514.5567144723846;305.614755295932;0.0;11997.765638157893
815461;1981 - 85;240.0;2;ground-source;floor_only;1.65;0.8;433.896;223.62;17.234360307539134;17;4.25;False;7370.892879357931;4157.177616063323;3213.715263294608;3213.715263294607;0.0;0.0;6055.810245183889
1678757;1976 - 80;200.0;2;air-source;floor_only;1.65;0.8;361.58;186.35;17.234360307539134;17;3.5;False;7306.695291665989;4124.091658691806;3182.6036329741837;3182.6036329741833;0.0;0.0;6469.38928670842
971071;1981 - 85;250.0;2;air-source;floor_only;1.65;0.8;451.97499999999997;232.9375;17.234360307539134;17;3.5;False;9044.390037040796;5019.659488219421;4024.730548821374;4024.7305488213747;0.0;0.0;12370.920526819924
121728;> 2010;455.0;7;ground-source;floor_only;1.4;0.24000000000000002;374.8745;393.34749999999997;13.931302342517295;14;4.25;False;6689.9107713985;6892.027943613993;-202.11717221549225;-202.11717221549205;0.0;0.0;13039.604189622038
114798;< 1975;301.0;3;ground-source;radiator_only;2.0;1.35;959.5579;308.79589999999996;18.43156937168669;18;3.4;True;20611.76709522627;6130.1675385194885;14481.599556706782;13226.378324250823;1255.2212324559594;0.0;14162.964618604652
1081057;> 2010;200.0;4;ground-source;floor_only;1.4;0.24000000000000002;164.77999999999997;172.89999999999998;13.931302342517295;14;4.25;False;3316.6540073023953;3407.2074573316295;-90.55345002923423;-90.55345002923413;0.0;0.0;7893.569149291076
9776611;> 2010;180.0;3;air-source;floor_only;1.4;0.24000000000000002;148.302;155.60999999999999;13.931302342517295;14;3.5;False;3113.352723288732;3212.1089396408115;-98.75621635207972;-98.7562163520803;0.0;0.0;8332.658527287318
996610;2000 - 10;240.0;2;air-source;floor_only;1.4;0.4;251.49599999999998;207.48;15.228552342780798;15;3.5;False;;;;;;961.3782608695652;
7411010;> 2010;260.0;4;air-source;floor_only;1.4;0.24000000000000002;214.214;224.76999999999998;13.931302342517295;14;3.5;False;4261.53512557566;4398.650261976897;-137.11513640123758;-137.11513640123832;0.0;0.0;8850.473699291693
512280;> 2010;300.0;4;ground-source;floor_only;1.4;0.24000000000000002;247.17;259.34999999999997;13.931302342517295;14;4.25;False;4130.5048967667835;4261.163148485851;-130.65825171906727;-130.65825171906772;0.0;0.0;10814.24046250876
7710511;< 1975;200.0;3;air-source;radiator_only;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;2.8;False;17357.583612483235;5292.382956833469;12065.200655649765;11019.425568615312;1045.7750870344544;0.0;21571.84375505254
823761;1991 - 95;240.0;2;air-source;floor_only;1.65;0.55;334.89599999999996;223.62;16.416798050738137;16;3.5;False;6274.481538469937;4435.378692716919;1839.1028457530174;1839.1028457530165;0.0;0.0;8246.849899741268
1101758;1976 - 80;192.0;2;ground-source;floor_only;1.65;0.8;347.1168;178.896;17.234360307539134;17;4.25;False;5916.774634225321;3407.7585802193553;2509.016054005966;2509.016054005966;0.0;0.0;6418.670951910409
1061168;> 2010;160.0;2;ground-source;floor_only;1.4;0.24000000000000002;131.824;138.32;13.931302342517295;14;4.25;False;2062.3515921263984;2127.5377700990116;-65.18617797261322;-65.18617797261314;0.0;0.0;7849.5691927346115
808112;1981 - 85;140.0;2;air-source;floor_only;1.65;0.8;253.106;130.445;17.234360307539134;17;3.5;False;5995.00270052749;2952.6033206429565;3042.399379884533;2081.0211190149676;0.0;961.3782608695652;10928.190558235701
1019970;> 2010;170.0;4;ground-source;floor_only;1.4;0.24000000000000002;140.063;146.96499999999997;13.931302342517295;14;4.25;False;2914.171021391542;2984.8909852841325;-70.71996389259039;-70.71996389259036;0.0;0.0;6756.145440852314
1148611;1991 - 95;240.0;3;ground-source;floor_only;1.65;0.55;334.89599999999996;223.62;16.416798050738137;16;4.25;False;6634.02362057328;3835.404972153552;2798.618648419728;1356.5512571153795;0.0;1442.0673913043477;13176.672286450663
7048688;1986 - 90;135.0;4;ground-source;floor_only;1.65;0.8;244.06650000000002;125.78625;17.234360307539134;17;4.25;False;5564.402657927047;3584.5434592631154;1979.8591986639312;1979.8591986639315;0.0;0.0;6193.306605504587
109104;< 1975;200.0;2;air-source;radiator_only;2.0;1.35;637.5799999999999;205.18;18.43156937168669;18;2.8;False;17980.945066323948;4930.794547823741;13050.150518500206;11040.954055457314;1047.8182021733267;961.3782608695652;14308.08245950554
468646;1986 - 90;150.0;2;air-source;floor_only;1.65;0.8;271.185;139.7625;17.234360307539134;17;3.5;False;4888.585685729489;2877.853689041198;2010.7319966882915;2010.7319966882912;0.0;0.0;9543.947109609608
1114639;1976 - 80;195.0;5;ground-source;floor_only;1.65;0.8;352.5405;181.69125;17.234360307539134;17;4.25;False;6402.716746547036;4195.785860912123;2206.9308856349126;2206.930885634913;0.0;0.0;9175.702229102168
671781;< 1975;180.0;4;air-source;floor_only;2.0;1.35;573.822;184.66199999999998;18.43156937168669;18;3.5;False;15900.104495251791;5501.13030083335;10398.974194418442;8476.21767267931;0.0;1922.7565217391304;10323.94161637931
768113;1976 - 80;150.0;2;air-source;radiator_only;1.65;0.8;271.185;139.7625;17.234360307539134;17;2.8;False;7308.020027490315;3447.723865433579;3860.2961620567366;3183.2456304809502;677.0505315757862;0.0;6783.463094713656
122850;2000 - 10;220.0;1;ground-source;floor_only;1.4;0.4;230.53799999999998;190.19;15.228552342780798;15;4.25;False;3617.0687630324364;2652.1751463488235;964.8936166836129;484.20448624882977;0.0;480.6891304347826;8368.94947426068
